club_name,end_of_spell
AO Trikala,2022-02-07
AO Trikala,2021-12-24
Alex/polis FC,2021-07-30
Ergotelis,2017-01-16
Evros Soufliou,2015-03-19
Ethn.Alex/polis,2015-01-27
Skoda Xanthi,2012-09-30
Aetos Arrianon,2012-06-30
Rubio Ñú,2021-09-06
Fulgen. Yegros,2021-07-23
QPR,2016-09-08
Tottenham,2014-10-15
Tottenham U21,2014-02-17
Agrotikos,2023-02-04
MA Orfaniou,2022-12-07
Aetos Orfanou,2022-06-30
PO N. Kallikr.,2020-09-10
Dig. Neochoriou,2020-01-28
AO Trikala,2020-02-10
AO Trikala,2019-06-30
Aetos Orfanou,2019-04-15
Eginiakos U19,2017-06-30
Aris U20,2016-08-29
Diagoras,2024-06-30
AO Egaleo,2023-05-04
Ap. Larisas,2022-05-30
AO Egaleo,2021-04-01
Olymp. Volou,2019-10-20
AO Trikala,2019-02-09
AO Trikala,2018-06-30
AE Sparti,2018-02-05
PAE Veria,2017-01-26
AO Chania,2016-06-30
AO Chania,2015-11-29
Pierikos,2015-04-29
AE Larisa,2014-12-23
Apollon 1926,2014-11-01
Ira. Psachnon,2014-06-30
AE Kifisias,2013-10-29
AO Egaleo,2009-11-03
AO Trikala,2018-11-22
AE Larisa U17,2018-06-30
Atrom. Palama,2017-02-05
CA Bizertin,2022-06-30
Zeta Golubovac,2021-07-01
Rabotnicki,2020-12-25
FK Zemun,2019-10-26
Niki Volou,2019-06-30
AO Trikala,2018-11-20
AE Larisa,2018-03-10
PAE Veria,2017-04-26
APO Levadiakos,2017-01-11
AE Larisa,2016-02-22
CA Bizertin,2015-03-17
PAE Veria,2014-06-30
FC Zestafoni,2013-11-02
Diagoras,2011-11-29
Red Star,2010-08-06
Levski Sofia,2009-10-19
FK Srem,2008-12-31
Vardar,2008-10-11
DL Shide,2008-06-30
PAE Veria,2007-12-10
FK Bezanija,2007-10-01
FK Bezanija,2007-06-02
OFK Beograd,2007-03-31
Slavia Sofia,2006-12-26
Red Star,2005-06-30
Smederevo 1924,2003-08-23
Slavia Sofia,2004-09-24
FK Obilic,2002-06-30
Red Star,2001-06-30
EDS Montluçon,1996-06-30
Pandramaikos,2023-06-30
AE Ermionidas,2022-06-30
Panserraikos,2021-05-13
AOK Kerkyra,2019-02-12
AOK Kerkyra,2019-02-07
Panserraikos,2018-06-30
AO Trikala,2018-02-08
Panelefsiniakos,2020-09-28
AO Trikala,2016-09-05
Panelefsiniakos,2015-06-06
Mandraikos,2014-03-31
OF Ierapetras,2021-06-30
OF Ierapetras,2019-10-30
Anag. Karditsas,2019-01-15
AO Trikala 1963,2013-11-11
AO Trikala,2010-05-10
PAS Lamia,2001-06-30
AO Trikala,2000-11-26
Ethn. Piraeus,2000-01-10
GS Kallithea,1999-10-11
Panetolikos,1999-04-26
AE Larisa,1998-12-21
AO Trikala,1997-11-12
AO Trikala,1995-10-10
Teteks Tetovo,2014-06-30
Shkendija,2008-06-30
AO Thiva,2007-06-30
AO Trikala,2007-02-04
Renova,2006-10-30
B. Banja Luka,2006-06-30
PAS Giannina,2005-02-22
B. Banja Luka,2004-06-30
Pobeda Prilep,2002-06-30
Pelister Bitola,2001-06-30
Shkendija,2000-06-30
Sileks,1998-06-30
Shkendija,1995-06-30
B. Banja Luka,1992-06-30
BSK Borca,1990-06-30
B. Banja Luka,1988-06-30
AS Rodos,2011-01-26
AO Trikala,2005-10-02
AE Larisa,2021-06-30
Anag. Karditsas,2021-05-09
Apol.Makrychor.,2020-07-22
AE Karitsas,2020-01-20
Diagoras Stef.,2019-12-02
Pierikos,2018-10-23
AE Karitsas,2018-06-30
Olymp. Volou,2017-10-10
Pierikos,2017-06-30
Ap. Larisas,2016-06-17
Pierikos,2014-12-30
AE Larisa,2013-01-08
Tyrnavos 2005,2012-01-30
Ethn.Olym.Volou,2007-11-05
Ethn.Olym.Volou,2007-11-04
Ap. Larisas,2006-06-30
AO Trikala,2005-02-26
D. Giannoulis,2004-06-30
Ap. Larisas,2003-06-30
AE Larisa,2001-06-30
PS Kalamata,1999-06-30
Tyrnavos 2005,1997-08-24
AO Trikala,2003-03-05
AO Trikala,1998-06-30
APS Zakynthos,2006-12-05
AO Trikala,2003-01-02
Ampeloniakos,2013-12-09
AO Trikala,2002-09-16
FS Kozani,2001-01-22
Anag. Karditsas,2000-11-12
AO Trikala,2001-01-28
GAS Ialysos,2000-05-15
Panargiakos,1999-02-11
Panserraikos,1998-06-30
Panargiakos,1997-06-30
AO Trikala,1998-10-05
Red Star,1983-06-30
GS Marko,2023-01-09
PAO Kalyvion,2022-02-08
Unknown,2021-08-01
M. Marathona,2020-02-13
GS Marko,2019-09-12
Unknown,2018-01-08
Thyella Rafinas,2017-02-10
Asteras Varis,2014-02-10
Olymp. Lavriou,2013-06-30
Triglia Rafinas,2012-11-23
Aittitos Spaton,2012-01-18
Athinaikos,2010-10-19
AO Koropi,2010-06-30
Olymp. Lavriou,2009-06-30
Aittitos Spaton,2006-06-30
Ilysiakos,2007-10-03
Athinaikos,2006-06-30
Doxa Vyronos,2013-10-17
AO Glyfadas,2013-01-28
Ilysiakos,2012-01-20
Ilysiakos,2006-06-30
Athinaikos,2003-02-24
Panegialios,2008-02-18
Atromitos,2004-06-30
Athinaikos,2002-10-27
Atromitos,2001-12-17
Athinaikos,1997-03-06
Eolikos,2016-10-10
GAS Ialysos,2016-01-12
Panelefsiniakos,2014-10-21
Olymp. Lavriou,2013-12-19
Tilykratis,2013-01-14
AS Fokikos,2012-05-02
Aspropyrgos,2010-01-23
PAO Rouf,2009-11-17
Eolikos,2006-06-30
PAS Giannina,2005-04-10
Panetolikos,1999-11-29
Niki Volou,1999-03-30
Athinaikos,1998-10-05
GS Kallithea,1998-06-30
Panegialios,1998-02-16
Panetolikos,1997-02-10
Panetolikos,1996-11-12
PAS Giannina,2022-06-30
AE Ermionidas,2021-06-30
Panarkadikos,2020-07-13
AE Ermionidas,2018-10-24
AE Ermionidas,2016-09-02
Asteras Tripoli,2022-12-23
Leverkusen U19,2019-02-23
SC Freiburg II,2015-03-22
FFS,2015-03-22
SC Freiburg,2013-12-31
VfL Bochum II,2013-06-30
VfL Bochum,2011-06-30
DFB-Jugend,2009-10-26
A. Tripolis U20,2018-06-30
Asteras Tripoli,2018-06-30
PAS Giannina,2014-01-28
PAS Giannina,2013-11-04
PAS Giannina,2016-06-30
GS Kallithea,2011-03-22
Hajer,2016-06-30
Al-Faisaly FC,2015-04-06
BEC Tero Sasana,2013-03-31
FC Brüssel,2012-06-30
PAS Giannina,2011-11-23
Aris Limassol,2010-03-21
RSC Charleroi,2009-11-01
Ethnikos,2009-06-30
Standard Liège,2006-05-11
AO Egaleo,2004-12-30
FC Denderleeuw,2003-10-10
KV Mechelen,2002-12-09
Meerhout,2002-06-30
KSK Halle,2000-06-30
PAS Giannina,2009-05-25
Thesprotos,2015-11-02
PAS U17,2014-06-30
PAS U20,2011-10-05
Doxa Kranoulas,2011-01-31
PAS Giannina,2006-01-11
PAS Giannina,2005-06-30
PAS Giannina,2004-06-30
PAS Giannina,2004-04-18
PAS Giannina,2003-08-07
PAS Giannina,2004-04-01
FC Algeti,2014-05-31
Zooveti,2012-05-31
PAS Giannina,2004-02-11
PAS Giannina,2004-01-15
Panegialios,2002-01-31
CSD Municipal,2019-07-22
Sanarate FC,2017-12-31
U San Carlos,2014-12-31
Xelajú,2010-09-27
CSD Municipal,2008-12-31
Suchitepéquez,2007-02-15
Comunicaciones,2004-11-10
Comunicaciones,2003-12-31
PAS Giannina,2001-09-23
CSD Municipal,2001-08-16
PAS Giannina,2001-08-20
PAS Giannina,2001-01-15
PAS Giannina,1998-11-03
PAS Giannina,1994-04-12
PAS Giannina,1994-02-24
Eolikos,2007-03-05
Panargiakos,1997-10-05
PAS Giannina,1997-03-10
PAS Giannina,1992-06-30
PAS Giannina,1990-06-08
PAS Korinthos,1989-06-30
Ethn. Piraeus,2002-08-30
GS Marko,2002-02-14
PAS Giannina,1996-09-27
AO Velissariou,1996-06-30
PAS Giannina,1995-01-09
Panathinaikos,2017-09-29
PAS Korinthos,1998-03-30
Acharnaikos,1995-06-30
PAS Giannina,1994-06-30
PAS Giannina,1992-01-20
PAS Giannina,1984-06-30
PAS Giannina,1982-06-30
PAS Giannina,1979-12-03
KVC Westerlo,2013-06-30
Willem II,2004-02-29
KV Mechelen,2001-12-17
Eendracht Aalst,2000-06-30
Sint-Truiden,1998-03-05
VAC Beerschot,1997-02-26
KSK Beveren,1996-06-30
KVC Westerlo,1996-02-08
PAS Giannina,1991-12-05
Lierse SK,1991-03-11
Ajax U21,1989-06-30
Ajax,1988-06-30
KFC Wuustwezel,1987-06-30
Pol. Warsaw,2012-01-07
PAS Giannina,1990-07-06
PAS Giannina,1987-01-04
PAS Giannina,1983-10-03
PAS Giannina,1983-09-26
Omonia Nikosia,1979-06-30
Loko Sofia,1976-12-31
Pirin ,1976-06-30
Dunav,1973-06-30
Chern. Burgas,1972-06-30
Loko Plovdiv,1968-06-30
Olymp. Volou,1994-05-04
Atromitos,1993-10-25
PAS Giannina,1973-06-30
PAS Giannina,1967-06-30
Ethn. Piraeus,1966-06-30
AO Egaleo,1966-01-18
Akratitos,2020-10-28
Unknown,2020-03-08
Akratitos,2019-11-27
AGS N. Peramou,2019-06-30
AEK Athens,2014-06-13
Akratitos,2022-06-30
Marathón,2022-12-12
CD Olimpia,2019-06-30
CA Atenas,2018-08-01
Marathón,2017-06-30
Rentistas,2015-06-10
CSD Municipal,2014-12-31
Marathón,2014-06-30
LD Alajuelense,2013-06-30
Marathón,2012-11-29
CSD Municipal,2011-06-30
Peñarol,2010-11-23
CSD Municipal,2010-06-30
Marathón,2010-01-26
CA Fénix,2008-06-01
Miramar,2005-10-24
Brujas FC,2005-05-30
Defensor,2001-06-30
Bella Vista,1999-06-30
Universitario,1994-10-15
Bella Vista,1991-12-31
AE Karaiskakis,2021-08-08
Doxa Dramas,2018-04-10
Nestos,2014-06-30
Doxa Dramas,2012-10-16
Doxa Dramas,2014-01-14
GS Marko,2009-06-30
Vyzas Megaron,2008-12-26
GS Marko,2007-11-14
Olympiacos,2007-07-18
Acharnaikos,2006-01-16
Akratitos,2004-01-19
Akratitos,2003-11-25
Olympiacos,2003-01-11
Acharnaikos,1997-01-14
Akratitos,1995-03-15
SteDoCo,2022-06-30
SteDoCo,2018-06-30
IJsselm.vogels,2015-11-10
IJsselm.vogels,2014-06-30
MSK Zilina,2013-01-04
Sparta R.,2010-04-04
FC Volendam,2009-06-30
ADO Den Haag,2006-11-20
De Graafschap,2004-06-30
Akratitos,2002-11-11
FC Utrecht,2002-06-30
FC Utrecht,2000-03-29
GVVV ,1997-06-30
AO Egaleo,2024-06-30
PSIS,2022-04-01
AE Karaiskakis,2021-12-23
PSIS,2021-08-09
Sindjelic Bg,2019-11-11
Pusamania Borneo,2017-07-16
FK Lovcen,2016-04-03
Sheikh Russel,2015-10-01
Sheikh Russel,2014-06-10
Sindjelic Bg,2013-12-31
OFK Beograd,2009-06-30
AO Egaleo,2023-06-30
AEK Athens U19,2021-06-30
Acharnaikos,2019-03-11
AE Sparti,2017-06-30
Doxa Dramas,2014-06-30
Ethn. Piraeus,2022-12-12
Ethn. Piraeus,2022-01-19
Panelefsiniakos,2021-06-30
APO Keratsini,2019-12-10
AO Egaleo,2019-06-30
Atrom. Piraeus,2018-11-07
Mandraikos,2018-06-30
AO Egaleo,2017-06-30
Aris Amfialis,2016-06-30
APO Keratsini,2014-06-30
Vyzas Megaron,2024-06-30
Agios Ierotheos,2022-11-04
AE Moschatou,2021-06-30
Agios Ierotheos,2018-12-03
AO Egaleo,2018-06-30
Panthiraikos,2017-12-04
Triglia Rafinas,2017-06-30
AE Irakliou,2015-10-25
Atrom. Piraeus,2014-12-08
Thyella Rafinas,2014-06-30
AO Pefkis,2014-03-17
AO Egaleo,2013-11-27
AO Athinais,2004-12-06
Panetolikos,2020-11-10
Panetolikos U19,2021-06-30
Panetolikos U19,2019-06-30
Panetolikos,2018-06-30
Skoda Xanthi,2018-01-08
Ilysiakos,2016-05-12
Panargiakos,2014-10-03
Niki Volou,2014-01-17
AO Glyfadas,2013-12-15
AO Egaleo,2013-10-10
AEL Kalloni,2012-03-05
Aspropyrgos,2021-05-04
AE Sparti,2018-09-18
Ruch Chorzow,2018-06-30
Ruch Chorzow,2017-09-10
Fostiras,2015-02-26
GS Kallithea,2014-02-05
AS Fokikos,2012-10-22
AO Egaleo,2012-06-30
AO Egaleo,2010-06-30
AO Chalkis,2003-10-27
PAE Thraki,1998-06-30
AO Chania,2015-12-04
AOT Alimou,2015-03-26
Ionikos Nikeas,2014-11-25
Ajax Tavros,2013-03-01
Ajax Tavros,2013-01-13
AO Egaleo,2008-06-30
AO Egaleo,2005-01-17
Fostiras,2001-11-18
AO Egaleo,1985-06-30
AO Egaleo,1985-02-18
Roma U19,1986-06-30
AO Egaleo,1967-06-30
Ethn. Piraeus,2022-12-30
AE Moschatou,2022-11-13
PAS Korinthos,2019-11-14
Atrom. Piraeus,2019-02-12
GS Kallithea,2018-10-29
Kallithea U19,2018-08-09
GS Kallithea,2017-06-30
Kallithea U19,2018-06-30
Atromitos,2021-11-26
Atromitos U19,2022-01-09
Atromitos,2019-12-05
Atromitos U17,2020-06-30
GS Kallithea,2018-04-04
Atromitos,2017-02-05
Atromitos,2015-02-09
Atromitos,2014-09-24
Atromitos U20,2016-09-19
GS Kallithea,2017-12-25
Acharnaikos,2018-01-01
GS Kallithea,2016-12-30
Pyramids FC,2023-01-04
Pyramids FC,2021-09-11
Wadi Degla ,2020-02-11
Ergotelis,2018-06-30
GS Kallithea,2016-12-17
AO Episkopi,2015-12-08
AO Glyfadas,2013-10-14
Thrasyvoulos,2012-06-01
Fostiras,2008-10-13
Ilysiakos,2008-06-30
Panetolikos,2007-05-06
Ethn. Piraeus,2006-11-25
Asteras Tripoli,2006-06-30
Thrasyvoulos,2005-12-13
Ethn. Piraeus,1998-12-03
GS Kallithea,2010-10-27
Platanias,2012-12-31
GS Kallithea,2009-01-26
Acharnaikos,2008-06-30
Ethn. Piraeus,2001-02-26
Doxa Vyronos,2015-01-06
Ilysiakos,2012-06-30
GS Kallithea,2008-12-29
GS Kallithea,2008-01-29
GS Kallithea,2007-01-22
CSKA-Sofia,2022-04-14
Kaysar,2020-11-25
Atyrau,2016-11-06
Ittihad Alex,2015-11-15
CSKA Sofia,2015-03-20
CSKA Sofia,2012-12-31
Enppi SC,2011-07-12
Al-Ahli,2009-04-24
CSKA Sofia,2008-07-09
PAE Veria,2006-09-11
GS Kallithea,2005-10-18
AGS Kastoria ,2005-06-30
Litex Lovech,2004-11-15
CSKA Sofia,2003-10-15
Belenenses,1997-10-06
Olhanense,1995-12-31
Estoril Praia,1993-06-30
GS Kallithea,2003-12-14
Aittitos Spaton,2018-11-16
AO Trikala,2017-01-19
AO Nea Ionia,2014-12-22
GS Kallithea,2002-11-13
Sydney Olympic,2009-10-05
Newcastle Jets,2006-10-10
GS Kallithea,2001-10-22
PAS Korinthos,2024-06-30
Atrom. Piraeus,2021-07-14
Chalkidona,2020-06-30
Aias Salaminas,2019-06-30
Chalkidona,2018-01-10
Ermis Korydal.,2016-06-30
Aris Voulas,2015-01-05
DAO Argonaftis,2013-11-01
Olymp. Volou,2003-04-07
Chalkidona,2002-09-06
AE Larisa,2002-03-07
Niki Volou,2000-02-17
Vyzas Megaron,2003-02-17
Fostiras,2002-01-31
Panegialios,2000-06-30
Chalkidona,1999-11-19
Panargiakos,1999-06-30
Ergotelis,2022-06-30
Ergotelis U19,2020-06-30
AE Mylopotamou,2019-06-30
Ergotelis,2023-03-23
Ergotelis U19,2022-10-07
FS Kozani,2023-06-30
Ergotelis,2022-05-20
PAS U19,2020-06-30
PAS U17,2019-06-30
Chania,2023-04-20
Ergotelis,2022-09-24
OFI Crete FC,2017-01-07
Ergotelis,2016-02-09
Ergotelis,2013-06-30
Ermis Zonianon,2017-12-19
PO Atsaleniou,2014-06-30
PO Atsaleniou,2007-10-29
Ergotelis,2006-02-01
PASA Irodotos,2004-10-11
Ol. Karousadon,2020-01-12
Kron. Argyradon,2019-03-28
Asteras Petriti,2018-06-30
Ol. Karousadon,2016-10-17
Unknown,2015-08-10
AOK Kerkyra U20,2014-07-05
Anag.Perivoliou,2010-06-30
Thesprotos,2008-06-30
Kron. Argyradon,2007-06-30
AE Faiakon,2006-06-30
Ol. Karousadon,1999-06-30
AOK Kerkyra,2020-04-28
AOK Kerkyra,2019-12-26
AOK Kerkyra,2017-08-31
AOK Kerkyra,2017-05-31
AOK Kerkyra U20,2021-06-30
AOK Kerkyra U20,2015-10-02
L. Glykovrysis,2014-06-30
Molaikos,2012-06-30
Olymp. Gythiou,2010-06-30
L. Glykovrysis,2006-06-30
Asteras Petriti,2024-06-30
AOK Kerkyra,2019-12-23
AOK Kerkyra,2020-04-12
AOK Kerkyra,2019-12-16
AE Lefkimmis,2019-03-20
Panargiakos,2016-02-29
AE Ermionidas,2015-06-30
AE Ermionidas,2015-01-19
AO Kassiopi,2013-06-30
AOK Kerkyra,2019-06-30
Olympiacos U17,2018-10-01
Olympiacos,2016-06-30
Aris U17,2013-06-30
Ap. Larisas,2022-06-30
Unknown,2021-11-29
Pankamariakos,2021-06-30
Ast. Marmaron,2020-06-30
Ir. Xylokastrou,2019-06-30
PO Elassonas,2017-05-12
Unknown,2016-11-02
PO Elassonas,2016-07-09
Aris Archang.,2015-06-30
GAS Ialysos,2014-06-30
Turnu-Severin,2013-06-30
PO Elassonas,2012-01-30
Olympiakos U20,2011-01-25
AO Kerkyra,2008-10-13
APOP Kinyras,2006-06-30
Arsenal Academy,2017-06-30
AO Kerkyra,2005-06-30
Pierikos,2001-06-30
Pierikos,2001-02-26
Almopos,2024-06-30
Almopos,2023-06-30
PO Triglias,2020-06-30
Eolikos,2017-11-06
Apollon 1926,2016-06-30
Apollon 1926,2015-06-30
Unknown,2015-02-27
Apol. Kalamarias,2013-12-27
Doxa Dramas,2010-05-31
Agrotikos,2023-01-14
Ethnikos Sochou,2022-10-30
Iraklis Ampelo.,2022-06-30
Aris Paleochor.,2017-09-22
Apollon 1926,2014-10-02
Apollon 1926,2014-11-10
Eordaikos 2007,2016-11-01
PS Serres,2015-11-26
Pierikos,2015-06-30
PS Serres,2015-04-29
Apol. Kalamarias,2014-09-22
An. Giannitson,2013-10-17
Ody. Kordeliou,2013-06-30
Niki Volou,2012-01-25
GS Ilioupolis,2011-02-28
Makedonikos,2021-06-30
Aris Paleochor.,2019-06-30
Tilykratis,2018-06-30
Krya Vrysi,2016-03-28
Doxa Dramas,2016-01-25
Panserraikos,2014-06-30
Tilykratis,2012-06-30
Platanias,2011-10-19
Od. Anagennisis,2011-06-30
Pyrsos Grevenon,2010-06-30
Pyrsos Grevenon,2008-10-12
Melbourne Heart,2019-04-30
Moreland Zebras,2012-06-30
Apol. Kalamarias,2012-01-18
Anag. Karditsas,2010-12-06
Eordaikos 2007,2010-03-27
APS Zakynthos,2009-06-30
Yverdon Sport,2008-06-30
Etoile Carouge,2002-06-30
Apol. Kalamarias,2001-01-07
FC Basel,1995-10-23
FC Sion,1993-06-30
FC Chiasso,1992-12-31
FC Renens,1989-06-30
FC Bulle,1988-06-30
Apol. Kalamarias,1999-05-03
Krya Vrysi,2002-02-04
Anag. Karditsas,2001-03-11
AGS Kastoria ,1998-12-01
Orestis Orestiadas,1998-05-14
Edessaikos,1998-02-11
Apol. Kalamarias,1997-10-14
Anag. Kolindrou,1996-12-05
Poseidon Mich.,2000-04-20
Edessaikos,1999-12-30
Edessaikos,1999-03-01
Apol. Kalamarias,1996-10-23
Apol. Kalamarias,1994-06-30
Apol. Kalamarias,1993-01-31
Apol. Kalamarias,1988-10-17
Apol. Kalamarias,1986-11-24
Apol. Kalamarias,1989-06-22
Paksi SE,1990-06-30
Apol. Kalamarias,1988-12-20
Vasas SC,1988-10-04
Dunaferr SE,1988-06-30
Debreceni MVSC,1987-06-30
Csepel FC,1984-06-30
Diósgyőr,1983-06-30
Kaposvár,1981-06-30
DMTE,1979-06-30
BFC Siófok,1977-06-30
Vasas SC,1977-01-01
Vasas SC,1975-06-30
Apol. Kalamarias,1983-10-31
Partizan,2023-02-28
ND Gorica,2020-12-07
AE Larisa,2019-08-08
Partizan,2019-03-10
Rad,2017-10-16
Čukarički,2016-12-17
FK Zemun,2015-10-12
Sindjelic Bg,2015-06-30
FK Bezanija,2013-06-30
AE Larisa,2017-09-25
KVC Westerlo,2017-06-21
OH Leuven,2015-11-24
Fostiras,2014-07-19
Beerschot AC,2013-04-22
Germ. Beerschot,2012-03-26
RSC Charleroi,2010-09-20
KSC Lokeren,2010-01-25
Club Brugge,2009-06-30
RSC Charleroi,2007-04-26
Sint-Truiden,2004-04-26
Birkirkara FC,2022-04-20
Quick '20,2019-06-30
EN Paralimniou,2018-11-14
AE Larisa,2017-09-20
Twente FC,2017-03-31
Anorthosis,2016-02-18
Valletta,2014-05-31
Vitesse U21,2014-01-24
Vitesse,2014-01-24
Lienden,2013-06-30
Spakenburg,2012-06-30
WKE Emmen,2009-06-30
AE Larisa U19,2017-09-06
AE Larisa,2017-09-06
AE Larisa,2017-04-02
AE Larisa,2017-06-30
Atrom. Palama,2022-06-30
Aetos Makrych.,2021-11-10
AE Larisa,2021-03-01
Aetos Makrych.,2020-12-22
Ik. Tsaritsanis,2019-06-30
AE Larisa,2016-06-30
Ik. Tsaritsanis,2015-06-30
AS Pyrgetos,2011-12-05
AE Larisa,2010-12-16
AE Larisa U20,2010-06-01
AE Larisa,2005-06-02
Falaniakos,2024-06-30
AE Larisa,2021-12-24
Atrom. Palama,2021-05-30
Achil. Farsalon,2018-06-30
Tyrnavos 2005,2017-10-24
Achil. Farsalon,2017-06-30
Ampeloniakos,2015-11-23
Iraklis Larisas,2014-06-30
Falaniakos,2014-02-09
Ampeloniakos,2012-06-30
Rigas Fereos,2008-10-14
Iraklis Sofadon,2007-06-30
Ap. Larisas,2005-02-24
AE Larisa,2004-06-30
AE Larisa,2000-06-30
Tyrnavos 2005,1996-06-30
AE Larisa,2003-03-31
AE Larisa,1988-06-30
AE Larisa,1976-06-30
AE Larisa,1975-12-01
AE Larisa,2002-09-08
AE Larisa,2002-06-30
AE Larisa,1997-06-30
AE Larisa,1997-02-13
AE Larisa,1995-10-17
Ampeloniakos,2018-03-26
Unknown,2016-04-02
Dotieas Agias,2016-01-07
PAOL Averof,2014-04-09
AS Pyrgetos,2013-03-19
AE Larisa,2010-06-05
PO Elassonas,2010-06-30
AS Pyrgetos,2009-11-17
Tyrnavos 2005,2008-06-04
AE Larisa,2001-02-12
AE Larisa,2000-02-07
AE Larisa,1999-06-30
Ethn. Piraeus,2002-12-12
Ethn. Piraeus,2002-06-30
Nafpaktiakos,2002-02-22
Panegialios,2001-12-17
Ethn. Piraeus,2001-06-30
Doxa Vyronos,1999-11-04
AE Larisa,1999-05-10
Panetolikos,1998-12-21
Doxa Vyronos,1998-03-31
Wisla Kraków,2021-06-07
Wisla Kraków,2018-06-18
Wisla Kraków,2018-01-01
Wisla Kraków,2017-01-04
Wisla Kraków,2016-11-09
Wisla U19,2016-09-08
Wisla U19,2015-12-10
Wisla Kraków,2015-06-30
Wisla Krakow II,2013-06-16
Plomien J.,2006-06-02
Garbarnia,2005-11-16
Dalin M.,2004-12-15
Piotrcovia Piotrków Trybunalski,2003-03-17
AE Larisa,1997-11-10
Wisla Kraków,2002-06-30
Wisla Kraków,1997-03-24
Wisla Kraków,1996-12-31
Wisla Kraków,1996-04-26
Wisla Kraków,1996-04-11
Wisla Kraków,1992-06-30
Wisla Kraków,1992-03-30
AE Larisa,1993-11-08
Górnik Zabrze,2008-09-16
Odra Wodzislaw,2006-12-01
Concordia Knurow,2004-04-22
Piast Gliwice,2001-12-15
Odra Opole,2001-06-27
Górnik Zabrze,2000-04-09
Grodzisk,1999-09-05
Odra Wodzislaw,1998-04-19
Concordia Knurow,1995-06-30
AE Larisa,1990-10-18
Górnik Zabrze,1989-06-30
Orlen Plock,2001-06-30
SH Shenhua,1998-06-30
Zaglebie Lubin,1996-06-15
Legia Warszawa,1989-06-30
AE Larisa,1986-03-31
Fram Reykjavík,1983-12-31
Z. Sosnowiec,1980-12-31
Legia Warszawa,1979-06-30
Hutnik Warszawa,1965-06-30
Pannaxiakos,2014-06-30
Ira. Psachnon,2013-10-28
PAE Veria,2012-12-31
AEL Kalloni,2011-12-31
APOEL Nicosia,2011-05-30
Dnipro,2009-06-30
Olympiacos,2006-01-15
AEK Athens,2003-06-30
PAS Patraikos,2002-04-01
Atromitos,2001-02-25
OFK Beograd,2015-08-24
FC Timisoara,2010-09-14
Red Star,2010-03-21
DL Shide,2006-06-27
Vojvodina,2004-12-31
Serb.-Mont. U21,2004-06-30
FK Mozyr-ZLiN,2001-08-02
Atromitos,2000-01-27
Red Star,1997-08-03
FK Bor,1995-06-30
Rad Belgrade,1993-06-30
Red Star,1993-09-24
PAS Lamia,2020-10-07
APO Levadiakos,2017-06-30
APO Levadiakos,2016-04-18
APO Levadiakos,2013-10-21
APO Levadiakos,2010-06-30
APO Levadiakos,2018-10-02
APO Levadiakos,2004-05-03
APO Levadiakos,2003-06-30
APO Levadiakos,2004-06-30
APO Levadiakos,1995-03-06
Asteras Tripoli,2023-06-30
Panargiakos,2017-10-05
Panargiakos,2015-10-07
Panargiakos,2014-01-28
Panargiakos,2009-09-30
Asteras Tripoli,2023-01-03
Panetolikos,2015-09-28
OF Ierapetras,2022-05-03
Niki Volou,2021-05-13
Doxa Dramas,2019-02-24
Asteras Tripoli,2017-09-10
Nea Salamis,2017-03-07
Asteras Tripoli,2011-11-07
CD Costa do Sol,2021-04-15
Felgueiras,2018-01-08
Farense,2016-04-07
Leixões,2015-05-12
Santa Clara,2014-06-30
AE Pafos ,2012-11-22
Leixões,2012-11-06
Asteras Tripoli,2011-11-01
Asteras Tripoli,2011-01-20
A. Tripolis U20,2012-06-30
Varzim,2007-01-30
União Madeira,2003-11-10
Rio Ave,2002-10-28
Olhanense,2001-11-05
Maia,2000-06-30
Chaves,1999-01-11
Varzim,1998-03-23
Veria NPS,2024-06-30
Veria NPS,2023-06-30
AS Rodos,2021-06-30
Agrotikos,2019-06-30
PAO Koufalion,2018-12-04
Veria NPS,2019-11-25
Veria NPS U19,2023-06-30
PAS Giannina,2018-06-30
Veria NPS,2023-06-12
Steaua Bucharest,2015-07-20
SK Tavriya,2013-06-15
PAE Veria,2012-11-18
Olympiacos,2010-07-14
AEK Athens,2001-06-30
AEP Verias,1998-06-30
PAE Veria,1997-06-30
Diagoras,2023-04-24
Veria NPS,2023-01-05
Agrotikos,2022-10-12
Ast. Vlachioti,2022-03-16
AS Rodos,2021-07-09
GS Almyrou,2019-06-30
APE Lagada,2018-11-21
Aris Paleochor.,2018-06-30
Makedonikos,2017-12-20
Niki Volou,2016-04-04
Apollon Smyrnis,2015-07-09
Anag.Epanomis,2013-04-08
Veria NPS,2022-12-29
Veria NPS,2023-02-15
Veria NPS,2022-07-21
Diagoras,2021-06-30
AS Irinoupolis,2016-06-30
AS Irinoupolis,2015-06-30
PAOK Koulouras,2014-06-30
Ceahlaul,2020-06-30
FC U Craiova,2018-09-16
Zaria Balti,2018-03-29
Zimbru Chisinau,2017-07-11
Zimbru Chisinau,2015-11-24
PAE Veria,2013-10-31
Milsami,2013-10-03
AS FC Buzău,2012-10-22
Milsami,2011-07-31
Farul Constanta,2010-04-03
Curtea de Arges,2009-12-24
AS FC Buzău,2008-08-12
U. Craiova,2007-04-21
Steaua Bucharest,2005-12-01
Steaua Bucharest,2003-06-30
FK Senica,2019-09-15
FK Senica,2018-08-03
Roda JC,2017-04-01
Apol. Limassol,2015-05-25
