club_name,end_of_spell
FC Wismut Aue,1991-06-30
SSV Ulm 1846,1989-02-28
FSV Salmrohr,1988-04-18
USA,2014-07-30
B. Leverkusen,2001-05-20
Bursaspor,2014-03-25
Club Brugge,2012-06-30
E. Frankfurt,2011-05-16
Fenerbahce,2010-07-08
1.FC Köln,2009-06-30
Fenerbahce,2006-07-14
Besiktas,2002-06-30
B. Leverkusen,2000-10-23
Besiktas,1996-06-30
VfB Stuttgart,1993-12-09
1.FC Köln,1990-06-30
1.FC Köln,1986-09-22
1.FC Köln II,1985-06-30
Bor. Dortmund,2022-12-07
FC Schalke 04,2022-06-30
Alem. Aachen,2020-02-29
Bayern Munich,2019-06-30
F. Düsseldorf,2017-10-08
F. Düsseldorf,2015-12-22
F. Düsseldorf,2015-12-09
F. Düsseldorf,2015-11-23
Hamburger SV,2015-04-14
FC Schalke 04,2014-10-07
1.FC Nuremberg,2009-06-30
B. Leverkusen,2008-09-07
Leverkusen II,2003-05-13
Leverkusen II,2001-06-30
B. Leverkusen,2008-06-30
B. Leverkusen,1996-06-30
B. Leverkusen,1996-05-13
B. Leverkusen,1996-04-27
B. Leverkusen,1995-04-10
B. Leverkusen,1995-04-05
B. Leverkusen,1991-06-30
B. Leverkusen,1991-05-30
SC Jülich 1910,1989-06-30
B. Leverkusen,2015-12-31
RW Essen,2005-04-24
VfL Osnabrück,2003-06-30
F. Düsseldorf,2000-06-30
FC Gütersloh,1999-06-30
KFC Uerdingen,1998-09-28
Fortuna Köln,1997-05-20
VfL Bochum,1995-06-30
Bor. M'gladbach,1992-11-05
B. Leverkusen,1989-04-12
Leverkusen Yth.,1988-06-30
Wermelskirchen,2014-06-30
FC Remscheid,2010-06-30
Wermelskirchen,2003-06-30
B. Leverkusen,1982-06-30
Leverkusen II,1997-06-30
RW Oberhausen,1996-03-17
SW Essen,1983-06-30
RW Oberhausen,1980-11-30
1.FC Viersen,1978-06-30
B. Leverkusen,1976-02-10
SVU Frintrop,1974-06-30
B. Leverkusen,1973-09-01
B. Leverkusen,1972-06-30
Leverkusen II,1965-06-30
Roda JC,1974-06-30
1.FC Viersen,1973-06-30
Rheydter SV,1971-06-30
Union Solingen,1969-06-30
RW Essen,1967-05-30
B. Leverkusen,1965-06-30
F. Düsseldorf,1962-06-30
Bor. M'gladbach,1960-06-30
Frankenthal,1956-06-30
Chio Waldhof 07,1955-06-30
Bor. M'gladbach,1953-06-30
Rheydter SV,1951-06-30
Arm. Hannover,1980-06-30
Altona 93,1968-06-30
Hamborn 07,1965-03-10
TuS Neuendorf,1964-06-30
B. Leverkusen,1962-03-31
Bremerhaven 93,1960-06-30
Altona 93,1952-06-30
Arm. Hannover,1948-01-31
SV Schlebusch,1964-06-30
B. Leverkusen,1960-06-30
Wuppertaler SV,1957-04-15
E. Braunschweig,1956-06-30
Fellows ZH,1952-06-30
Stuttg. Kickers,1950-03-13
Wuppertaler SV,1959-06-30
Freiburger FC,1958-06-30
B. Leverkusen,1957-06-30
VfL Bochum,1956-06-30
SV 03 Tübingen,1953-02-28
Schwaben Augsb.,1952-06-30
Alem. Aachen,1951-06-30
Stuttg. Kickers,1950-02-06
ASV Durlach,1948-12-31
E. Frankfurt,1947-06-30
1.FSV Mainz 05,1959-06-30
VfL Wolfsburg,1957-04-01
B. Leverkusen,1956-06-30
Werder Bremen,1953-06-30
Bor. Dortmund,1951-06-30
Holstein Kiel,1950-04-01
RW Frankfurt,1948-06-30
1. SV Jena,1942-12-31
Dresdner SC 1898,1937-01-01
VfL Benrath,1935-06-30
VfB Bottrop,1933-06-30
B. Leverkusen,1953-06-30
Jahn Regensburg,1950-06-30
RW Essen,1959-06-30
Wuppertaler SV,1956-06-30
B. Leverkusen,1952-06-30
Wormatia Worms,1949-06-15
RW Essen,1949-06-01
SAK 1914,1961-06-30
SAK 1914,1955-06-30
Amateure Steyr,1954-06-30
SAK 1914,1953-06-30
SAK 1914,1951-12-31
B. Leverkusen,1950-12-31
1.FC Nuremberg,1949-12-30
Stuttg. Kickers,1948-12-30
TeBe Berlin,1945-06-30
Forts. Hartha,1940-06-30
PSV Chemnitz,1937-06-30
TeBe Berlin,1929-06-30
Wormatia Worms,1960-06-15
SW Essen,1957-06-30
1.FC Köln,1954-06-30
Pr. Dellbrück,1953-05-17
B. Leverkusen,1949-06-30
RW Oberhausen,1948-09-27
VfV Hildesheim,1959-04-01
VfL Osnabrück,1957-03-01
Arm. Hannover,1954-06-30
Eimsbütteler TV,1953-06-30
SF Katernberg,1951-06-30
Hertha BSC,2024-06-30
Hertha BSC,2021-11-29
Hertha BSC U16,2021-01-25
Hertha BSC,2019-06-30
Hertha BSC Yth.,2015-02-04
Hertha BSC U17,2013-06-30
Hertha BSC,2023-04-16
Dynamo Moscow,2022-06-30
1.FSV Mainz 05,2019-11-10
FSV Mainz 05 II,2017-06-30
Mainz 05 U19,2015-02-16
1.FC Eschborn,2013-06-30
Wehen Wiesbaden,2010-03-09
Wehen Wiesbaden,2009-06-30
AO Kavala,2022-03-26
Hertha BSC,2020-04-08
FC Ingolstadt,2018-11-26
Werder Bremen,2017-10-30
Werder Bremen,2016-10-01
W. Bremen II,2016-09-18
W. Bremen II,2014-10-25
VfB Oldenburg,2014-06-30
VfB Oldenburg,2013-04-21
VfB Oldenb. U17,2011-11-18
Oldenburg Yth.,2011-06-30
Hertha BSC II,2023-06-30
Hertha BSC,2019-11-27
Hertha BSC II,2019-06-30
Hertha BSC U19,2013-11-21
Hertha BSC Yth.,2013-06-30
Hertha BSC,2012-02-18
Hertha BSC U19,2012-11-27
GW Wolfen,2009-06-30
Babelsberg 03,2007-10-02
Greuther Fürth,2024-06-30
Greuther Fürth,2022-10-23
Greuther Fürth,2022-10-15
VfB Stuttgart,2020-07-15
TSG Hoffenheim,2012-12-03
Hertha BSC,2011-12-26
Hertha BSC,2011-12-18
VfB Stuttgart,2009-12-06
VfB Stuttgart,2009-06-30
FC St. Gallen,2008-06-30
Grasshoppers,2007-06-30
Stuttgart II,2005-12-31
Stuttgart II,2001-10-09
Stuttgart II,2001-09-12
Western Sydney,2020-01-20
FC Luzern,2018-01-05
TSG Hoffenheim,2012-09-19
VfB Stuttgart,2008-11-22
Altglienicke,2024-06-30
Chemnitzer FC,2016-03-02
Hertha BSC II,2013-06-30
Hertha BSC,2009-10-03
Hertha BSC II,2009-09-28
Hertha BSC,2007-06-30
Hertha BSC II,2007-04-09
Babelsberg 03,1999-10-08
Union Berlin,1997-09-25
Hertha BSC,1995-12-31
Hertha BSC,1991-06-30
Hertha BSC II,1992-08-11
Union Berlin,1990-04-09
OGC Nice,2023-01-09
Bor. Dortmund,2020-12-13
OGC Nice,2018-06-30
Bor. M'gladbach,2015-09-20
Hertha BSC,2009-09-28
FC Zürich,2007-06-30
Servette FC,2002-06-30
Yverdon Sport,2000-06-30
FC Echallens,1995-06-30
FSV Frankfurt,2016-06-30
Saarbrücken,2016-03-02
Erzgebirge Aue,2014-09-02
Holstein Kiel,2009-09-18
Hertha BSC,2007-04-10
1860 Munich,2004-04-17
Hertha BSC,2002-06-30
Hertha BSC,2002-02-06
Hertha BSC II,2000-06-30
Bor. M'gladbach,2009-05-28
1.FC Nuremberg,2008-02-11
Hertha BSC,2005-11-09
Hertha BSC,2004-06-30
Bor. M'gladbach,2003-12-23
Bor. M'gladbach,2003-03-01
Twente FC,1999-09-05
Union Berlin,1995-10-02
Carl Zeiss Jena,1994-08-27
Karl-Marx-Stadt,1993-06-09
Rot-Weiß Erfurt,1987-05-01
Carl Zeiss Jena,1983-10-23
Carl Zeiss Jena,1971-06-30
Hertha BSC Yth.,2015-06-30
Hertha BSC U16,2014-06-30
Hertha BSC II,2007-06-30
Hertha BSC,2004-01-03
Hertha BSC,2003-12-23
Hertha BSC,2021-06-30
Hertha BSC U17,2017-06-30
Hertha BSC U19,2016-06-30
Hertha BSC U17,2015-06-30
Holstein Kiel,2010-02-15
Hertha BSC,2007-04-09
Hertha BSC II,2003-12-04
Hertha BSC II,2002-02-05
FC Schalke 04,2020-12-26
FC Schalke 04,2019-06-30
FC Schalke 04,2021-07-17
Roda JC,2018-03-06
Roda JC,2017-06-30
FC Schalke 04,2017-04-26
TSG Hoffenheim,2016-02-10
FC Schalke 04,2015-10-25
VfB Stuttgart,2015-06-30
VfB Stuttgart,2014-06-30
PAOK Salonika,2014-03-03
FC Schalke 04,2012-12-16
PSV Eindhoven,2009-01-28
Hamburger SV,2008-06-30
Roda JC,2007-02-02
Hertha BSC,2003-12-04
FC Schalke 04,2002-06-30
Roda JC,1996-10-09
PSV U19,1993-02-28
Mouscron,2020-05-24
Osmanlispor,2017-06-30
Ankaraspor,2009-12-31
Saturn Ramenskoe,2009-05-15
Bor. Dortmund,2007-03-12
Partizan,2006-05-11
VfL Wolfsburg,2004-04-04
VfB Stuttgart,1995-04-25
RW Essen,1993-12-13
RW Essen,1991-06-30
Waldh. Mannheim,2013-04-02
SV Sandhausen,2005-09-30
TuS Celle FC,2003-09-15
Jahn Regensburg,2003-06-30
VfR Mannheim,2001-03-05
Waldh. Mannheim,1997-03-31
Waldh. Mannheim,1996-10-12
1.FC Nuremberg,1995-06-30
Stuttg. Kickers,1994-06-30
Hertha BSC,1993-10-20
Waldh. Mannheim,1991-09-05
Apol. Limassol,2007-01-07
Perth Glory,2000-12-31
CSKA Kyiv,1996-07-18
Dnipro,1996-06-30
Hertha BSC,1995-03-02
VfB Leipzig,1994-02-21
